x,result
-5.515,0.694831305779898
-5.37509,0.7883333111721555
-5.3484,0.8044715710169813
-4.0822,0.8079161570810409
-4.06241,0.7960965191586298
-3.883,0.6753265246049803
-2.7262,-0.40354922300343943
-2.36727,-0.6992320043465948
-2.2212,-0.7958394361578569
-0.905,-0.786425154952674
-0.84255,-0.7463427273125481
-0.489,-0.4697433201466789
7.085796326794896,0.7191727584580785
6.945886326794897,0.6152483973943738
6.919196326794896,0.5939911543326802
5.652996326794897,-0.5892974487704853
5.633206326794896,-0.6051696722271478
5.453796326794897,-0.7375188710568421
4.296996326794897,-0.9149579359802944
3.9380663267948965,-0.7148948203039686
3.7919963267948966,-0.6055077141176191
2.475796326794897,0.6176855799334015
2.4133463267948967,0.665561817855913
2.0597963267948964,0.8828030432534626
0.001,9.999998333333417E-4
0.5,0.479425538604203
1.5707963267948966,1.0
2.5,0.5984721441039564
3.1405926535897932,9.99999833333354E-4
0.2,0.19866933079506122
2.9,0.23924932921398243
-4.71238898038469,1.0
-1.5707963267948966,-1.0
-0.7,-0.644217687237691
0.0,0.0
0.6,0.5646424733950354
